Frame Number,Num Objects,Variance of # Objects,Num Zero IoU,Average Non-zero IoU
2,25,0,0,0.89
3,25,0,0,0.82
4,25,2,0,0.77
5,25,0,0,0.74
6,25,0,1,0.69
7,25,0,0,0.71
8,25,0,0,0.69
9,25,1,0,0.67
10,24,-1,0,0.68
11,25,0,0,0.66
12,25,-1,0,0.65
13,24,-1,0,0.65
14,25,-2,0,0.64
15,25,-1,0,0.63
16,27,-2,0,0.58
17,27,-1,0,0.60
18,26,-1,0,0.58
19,26,-1,0,0.57
20,27,-1,0,0.56
21,28,-1,0,0.51
22,25,2,0,0.57
23,25,0,0,0.55
24,25,1,1,0.56
25,25,2,0,0.54
26,25,2,1,0.55
27,25,2,1,0.55
28,25,1,1,0.55
29,25,0,1,0.57
30,25,0,1,0.57
31,25,0,1,0.55
32,25,0,2,0.57
33,25,0,2,0.57
34,25,0,1,0.58
35,25,1,1,0.58
36,25,1,1,0.57
37,25,2,1,0.58
38,25,2,1,0.58
39,25,2,1,0.58
40,25,2,1,0.58
41,25,1,1,0.58
42,25,1,1,0.57
43,25,1,1,0.56
44,25,2,1,0.56
45,27,-1,1,0.47
46,25,0,1,0.54
47,25,1,1,0.54
48,25,2,1,0.52
49,25,2,1,0.52
50,25,2,1,0.52
51,25,1,1,0.52
52,25,1,1,0.52
53,25,0,1,0.51
54,25,1,1,0.51
55,25,1,1,0.51
56,25,2,1,0.50
57,25,1,1,0.51
58,25,1,1,0.51
59,28,-1,2,0.46
60,28,-1,2,0.48
61,25,0,1,0.50
62,30,-2,1,0.45
63,29,-3,1,0.46
64,29,-1,1,0.45
65,28,-1,1,0.45
66,30,-2,3,0.46
67,29,-4,3,0.48
68,27,-4,4,0.51
69,25,-3,3,0.53
70,26,-4,3,0.53
71,26,-4,3,0.50
72,26,-3,2,0.49
73,25,-3,1,0.50
74,26,-4,2,0.51
75,24,-3,1,0.47
76,24,-3,2,0.50
77,24,-1,3,0.52
78,25,-1,3,0.51
79,26,-1,3,0.49
80,24,-2,3,0.52
81,23,-1,3,0.54
82,25,0,2,0.50
83,26,-3,2,0.47
84,25,-2,2,0.48
85,29,-2,2,0.48
86,25,-2,2,0.49
87,26,-3,1,0.48
88,25,-2,1,0.50
89,24,-2,1,0.50
90,23,-3,1,0.49
91,23,-2,1,0.49
92,23,-2,1,0.48
93,25,-2,1,0.50
94,24,-3,1,0.49
95,21,-3,1,0.49
96,22,-3,2,0.50
97,22,-3,2,0.51
98,22,-3,3,0.50
99,23,-3,3,0.50
100,24,-2,4,0.49
101,23,-2,3,0.49
102,22,-2,2,0.50
103,23,-4,3,0.49
104,24,-3,3,0.49
105,24,-2,3,0.49
106,24,-4,3,0.49
107,23,-3,3,0.48
108,25,-3,3,0.49
109,24,-3,3,0.49
110,26,-4,3,0.44
111,27,-2,3,0.43
112,27,-2,3,0.45
113,27,-3,3,0.43
114,28,-2,5,0.44
115,26,-1,3,0.42
116,25,0,2,0.44
117,25,0,2,0.44
118,25,0,2,0.43
119,25,0,2,0.44
120,24,-1,3,0.46
121,26,-2,3,0.44
122,26,-2,3,0.44
123,26,-1,4,0.45
124,27,-1,4,0.45
125,25,-1,2,0.44
126,24,-2,2,0.44
127,26,-2,3,0.43
128,24,-1,3,0.45
129,24,-1,3,0.44
130,25,0,4,0.45
131,25,1,4,0.45
132,25,1,4,0.45
133,25,1,4,0.45
134,25,1,4,0.46
135,25,1,4,0.46
136,25,1,4,0.47
137,25,0,4,0.46
138,25,1,4,0.46
139,25,0,4,0.46
140,25,2,4,0.47
141,25,2,3,0.45
142,25,2,3,0.46
143,25,2,3,0.46
144,25,2,3,0.46
145,25,2,3,0.46
146,25,2,2,0.44
147,25,3,2,0.44
148,25,3,2,0.44
149,25,2,2,0.44
150,25,3,2,0.45
151,25,2,2,0.45
152,25,3,2,0.45
153,25,2,2,0.45
154,25,1,2,0.43
155,25,1,1,0.44
156,25,1,1,0.45
157,25,2,1,0.48
158,25,2,1,0.48
159,25,2,1,0.49
160,25,2,1,0.48
161,25,1,2,0.47
162,25,1,1,0.48
163,25,1,1,0.49
164,25,1,2,0.47
165,25,1,2,0.47
166,25,1,2,0.47
167,25,-1,2,0.46
168,25,-1,2,0.48
169,24,-1,2,0.48
170,25,0,1,0.47
171,25,0,1,0.46
172,25,0,1,0.46
173,25,-1,3,0.47
174,25,0,1,0.46
175,25,0,1,0.46
176,25,0,1,0.46
177,25,1,1,0.46
178,25,1,1,0.46
179,25,0,1,0.47
180,28,-1,2,0.38
181,25,0,1,0.45
182,25,0,1,0.45
183,25,0,1,0.47
184,25,0,1,0.46
185,25,0,1,0.45
186,25,-1,2,0.45
187,25,0,1,0.45
188,25,1,1,0.46
189,25,0,1,0.46
190,25,0,1,0.46
191,25,2,1,0.46
192,25,1,1,0.47
193,25,0,1,0.48
194,25,0,1,0.47
195,25,0,1,0.48
196,25,0,1,0.49
197,25,0,1,0.48
198,25,0,1,0.48
199,25,0,1,0.48
200,27,-2,1,0.40
201,26,-2,1,0.44
202,25,-2,1,0.44
203,24,-2,1,0.44
204,28,-2,1,0.37
205,28,-2,1,0.37
206,25,-3,1,0.41
207,24,-2,1,0.45
208,25,-2,1,0.45
209,26,-2,1,0.41
210,24,-2,0,0.44
211,24,-2,0,0.44
212,24,-2,0,0.44
213,25,-2,0,0.45
214,25,-2,0,0.45
215,29,-5,0,0.44
216,27,-5,0,0.42
217,28,-3,0,0.44
218,26,-3,1,0.43
219,27,-3,1,0.43
220,28,-1,1,0.41
221,28,-1,1,0.41
222,27,-1,1,0.42
223,27,-2,1,0.40
224,26,-3,1,0.42
225,26,-1,1,0.44
226,24,-2,1,0.46
227,25,-3,1,0.44
228,24,-3,1,0.46
229,24,-2,1,0.46
230,22,-2,0,0.48
231,24,-1,0,0.47
232,25,-1,0,0.46
233,25,-1,0,0.45
234,24,-1,0,0.46
235,24,-1,0,0.45
236,23,-1,0,0.46
237,24,-2,0,0.46
238,23,-2,0,0.46
239,23,-1,0,0.46
240,25,0,1,0.46
241,23,-1,0,0.45
242,25,0,1,0.46
243,23,-1,0,0.46
244,24,-2,0,0.46
245,21,-1,0,0.50
246,20,-1,0,0.52
247,22,-1,0,0.50
248,22,-1,0,0.50
249,21,-2,0,0.49
250,21,-3,0,0.49
251,22,-3,0,0.47
252,23,-3,0,0.45
253,23,-2,0,0.48
254,22,-4,0,0.47
255,22,-4,0,0.47
256,22,-4,0,0.53
257,22,-4,0,0.51
258,21,-4,0,0.50
259,23,-4,0,0.46
260,22,-4,0,0.48
261,23,-4,0,0.45
262,22,-4,0,0.44
263,21,-4,0,0.46
264,21,-4,0,0.46
265,21,-3,0,0.49
266,22,-4,0,0.47
267,22,-4,0,0.47
268,21,-4,0,0.46
269,21,-4,0,0.46
270,21,-4,0,0.45
271,22,-4,0,0.46
272,22,-4,0,0.44
273,23,-4,0,0.45
274,24,-4,0,0.42
275,20,-4,0,0.49
276,20,-4,0,0.50
277,22,-4,0,0.47
278,23,-3,0,0.43
279,23,-3,0,0.44
280,21,-4,0,0.45
281,22,-4,0,0.46
282,25,-5,0,0.46
283,26,-5,0,0.44
284,24,-5,0,0.41
285,24,-5,1,0.43
286,23,-5,1,0.45
287,25,-4,1,0.41
288,24,-4,1,0.42
289,22,-4,1,0.46
290,22,-4,1,0.46
291,23,-4,1,0.46
292,22,-4,1,0.46
293,23,-3,0,0.45
294,23,-3,0,0.46
295,24,-3,0,0.43
296,23,-3,0,0.43
297,24,-4,1,0.41
298,25,-3,1,0.42
299,27,-4,1,0.39
300,24,-3,0,0.42
301,25,-3,0,0.41
302,27,-2,1,0.41
303,28,-3,1,0.39
304,27,-3,1,0.42
305,25,-2,0,0.42
306,25,-1,0,0.42
307,22,-1,1,0.44
308,25,0,1,0.44
309,25,1,2,0.46
310,25,0,1,0.44
311,25,1,1,0.44
312,25,2,1,0.44
313,25,3,1,0.43
314,25,2,1,0.43
315,25,1,1,0.42
316,25,1,1,0.41
317,25,1,1,0.41
318,25,1,1,0.41
319,12,-6,0,0.10
320,11,-6,0,0.10
321,11,-6,0,0.10
322,12,-6,0,0.09
323,12,-6,0,0.09
324,12,-6,0,0.09
325,12,-6,0,0.09
